"name","year","dimension","search_space_size","log10_search_space_size","domain","author","gscholar_citation","thesis","chapter"
"atax",2012,19,165000000000000,14,"Linear Algebra","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"gemv",2012,49,2.73E+030,30,"Linear Algebra","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"fdtd4d2d",2012,30,7.06E+024,24,"Linear Algebra","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"gemver",2012,24,7.26E+017,17,"Linear Algebra","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"gemsum",2012,11,156000000,8,"Linear Algebra","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"hmc",2012,15,101000000,8,"Linear Algebra","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"mm",2012,14,1830000000000,12,"Linear Algebra","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"mvt",2012,12,138000000,8,"Linear Algebra","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"tensor",2012,20,5.49E+016,16,"Linear Algebra","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"trmm",2012,25,5.33E+019,19,"Linear Algebra","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"bicg",2012,13,9330000000,9,"Linear Solver","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"lu",2012,14,18600000000,10,"Linear Solver","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"adi",2012,20,6050000000000000,15,"Stencil Code","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"jacobi-1d",2012,11,155000000,8,"Stencil Code","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"seidel",2012,15,686000000000,11,"Stencil Code","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"stencil3d",2012,29,2.35E+023,23,"Stencil Code","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"cor",2012,20,6050000000000000,15,"Statistical Computing","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
"cov",2012,25,5.33E+019,19,"Statistical Computing","Balaprakash, P. et al. (2012)","balaprakash2012spapt","FALSE",
