"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method","slowdown"
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GA",1.00556240508331
12,6,2,4,"true","false",512,4,1.3540030760049e-10,120,"GA",1.16222121903826
4,4,1,4,"true","false",128,2,1.25109511762482e-10,120,"GA",1.07388920934288
5,5,1,2,"true","false",512,2,1.19264177349936e-10,120,"GA",1.02371523406152
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GA",0.999999999999996
4,4,1,4,"true","false",256,1,1.26186033154576e-10,120,"GA",1.08312963151631
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GA",1.00556240508331
12,6,2,4,"true","true",256,2,1.35761365941573e-10,120,"GA",1.16532039711809
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GA",1.00556240508331
10,5,2,4,"true","true",256,4,1.41563511285379e-10,120,"GA",1.21512365498374
4,4,1,2,"true","false",256,2,1.27851671079944e-10,120,"GA",1.09742679061738
5,5,1,2,"true","false",512,2,1.19264177349936e-10,120,"GA",1.02371523406152
6,6,1,4,"true","false",512,4,1.1888726151874e-10,120,"GA",1.02047994173043
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GA",1.0075402356347
3,3,1,4,"true","false",128,2,1.36120252443834e-10,120,"GA",1.16840093301602
12,6,1,4,"true","false",256,4,1.38909952667585e-10,120,"GA",1.19234658611133
20,5,4,4,"true","true",128,1,1.48373401207609e-10,120,"GA",1.27357698280248
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GA",0.999999999999996
4,4,1,4,"true","false",256,2,1.25602448835109e-10,120,"GA",1.07812038086391
12,6,1,2,"true","true",512,2,1.38215229148311e-10,120,"GA",1.18638336173042
15,5,2,4,"true","false",256,1,1.91750946170615e-10,120,"GA",1.6459122018224
8,4,2,2,"true","true",1024,4,1.44137647915366e-10,120,"GA",1.23721899778681
12,6,1,4,"true","false",256,8,1.39912273940276e-10,120,"GA",1.20095010461183
6,6,1,2,"true","true",256,2,1.1808319494789e-10,120,"GA",1.01357816102755
6,6,1,2,"true","false",256,2,1.19243458186372e-10,120,"GA",1.02353738918095
4,4,1,4,"true","false",128,4,1.26761029509907e-10,120,"GA",1.08806516657438
10,5,1,4,"true","true",512,8,1.41934937766539e-10,120,"GA",1.21831182896478
6,6,1,4,"true","false",512,8,1.18483530341257e-10,120,"GA",1.01701447736352
5,5,1,2,"true","true",512,1,1.22127353136702e-10,120,"GA",1.04829157153215
6,6,1,2,"true","true",128,1,1.18258966570151e-10,120,"GA",1.01508691320631
12,6,1,2,"true","true",256,4,1.38754768806626e-10,120,"GA",1.19101455090952
8,4,1,2,"true","false",256,4,1.45919161514235e-10,120,"GA",1.25251078658186
